product_sku,name,category,workflows,workflow_step,description,public_url
P0000001,ZEISS ATLAS 500,Ophthalmology,"[""Cataract"",""Corneal Refractive""]",Assess & educate,"A state-of-the-art, multi-modality solution for the anterior eye segment, ATLAS® 500 from ZEISS offers corneal topography. Additionally, the system enables clinicians to carry out dry eye assessments in a single workstation, delivering increased efficiency in a compact design.",https://www.stage-internet.zeiss.com/meditec/en/products/zeiss-corneal-topographers/zeiss-atlas-500-corneal-topographer.html
P0000012,ZEISS IOLMaster 700,Ophthalmology,"[""Cataract"",""Premium Cataract""]",Assess & educate,"Performance OCT. 100,000 scans per second to power your practice. CIRRUS® 6000 is the next-generation OCT from ZEISS, delivering high-speed image capture with HD imaging detail and a wider field of view so you can make more informed decisions and spend more time with the patients who need it.",https://www.zeiss.com/meditec/en/products/optical-biometers/iolmaster-700.html
P0000014,ZEISS CIRRUS 6000,Ophthalmology,"[""Cataract"",""Premium Cataract""]",Assess & educate,"Get fewer refractive surprises. Thanks to SWEPT Source OCT technology, ZEISS IOLMaster 700 offers unique features and functions to achieve fewer refractive surprises.",https://www.zeiss.com/meditec/en/products/optical-biometers/iolmaster-700.html
P0000015,ZEISS EQ Workplace,Ophthalmology,"[""Cataract"",""Premium Cataract""]",Plan,"EQ Workplace® from ZEISS is the digital surgery planner in cataract, based on FORUM® from ZEISS. By creating a secure data trail across ZEISS devices and facilitating IOL calculation and staff collaboration on a centralized interface, it makes your work more efficient, safer from transcription errors and focused on what matters. For you and your patients.",https://www.zeiss.com/meditec/en/products/data-management-software/zeiss-eq-workplace.html
P0000016,ZEISS ARTEVO 750,Ophthalmology,"[""Cataract""]",Treat,"RGB LED illumination allows you to select different light color temperatures according to your preferences, to illuminate the surgical field as needed. Tailor the light to your surgical needs, or have it adjust automatically according to your surgical profile. The well-established Stereo Coaxial Illumination (SCI) delivers highly stable and high contrast red reflex. ZEISS ARTEVO 750 also presents AdVision®, a system that overlays surgery data into your eyepiece at higher1 resolution.",https://www.zeiss.com/meditec/en/products/surgical-microscopes/ophthalmic-microscopes/artevo750.html
P0000017,ZEISS QUATERA 700,Ophthalmology,"[""Cataract"",""Premium Cataract""]",Treat,Use automated ultrasound only when needed – upon occlusion. Power on Demand (PoD) is an ultrasound management technology that automatically (de)activates ultrasound only when needed.,https://www.zeiss.com/meditec/en/products/phaco-vitrectomy-lensfragmentation/zeiss-quatera-700.html
P0000018,ZEISS OPTIKIT,Ophthalmology,"[""Cataract""]",Treat,"Prepare for cataract surgery with OPTIKIT® from ZEISS to save time in surgical preparation and optimize your workflow. ZEISS OPTIKIT surgical packs provide you with high-quality components for ophthalmic surgery, including ZEISS products, phaco accessories and consumables, to complete a single cataract procedure. As your reliable partner in cataract workflow optimization, ZEISS provides you with the right solutions at every step of the surgery.",https://www.zeiss.com/meditec/en/products/phaco-vitrectomy-lensfragmentation/zeiss-optikit.html
P0000019,ZEISS CT LUCIA family,Ophthalmology,"[""Cataract""]",Treat,"The CT LUCIA® 621P/PY  – a new generation of aspheric IOL, applied on a monofocal hydrophobic C-loop platform. The patented asphericity concept of the ZEISS CT LUCIA is designed to mitigate against potential decentration issues and to confidently deliver good visual outcomes. The architecture of the IOL enables very stable positioning in the capsular bag for consistent and excellent performance. The latest CT LUCIA 621P/PY comes in a new and improved fully preloaded injector system for an easy and intuitive cataract workflow.",https://www.zeiss.com/meditec/en/products/iols/monofocal-iols/ct-lucia-family.html
P0000020,ZEISS OVD Portfolio,Ophthalmology,"[""Cataract""]",Treat,"Based on 20+ years experience, development and production, ZEISS provides a state-of-the-art ophthalmic viscosurgical devices (OVD) portfolio that supports your work at each step of the ophthalmic procedure. ZEISS OVDs originate from bacterial fermentation.",https://www.zeiss.com/meditec/en/products/iols/ovds.html
P0000021,ZEISS Slit lamps and accessories,Ophthalmology,"[""Cataract""]",Check,"ZEISS Slit lamps are standard equipment for ophtalmolohists, optometrists and many opticians. Eye care professionals often have very different requirements in terms of the examinations they perform. Slit lamps from ZEISS reflect these distinctions. Delivering proven quality for reliable performance every day, they combine premium optics with superb mechanical performance and versatility. Excellent ergonomics, simple handling, convenient documentation and easy upgradeability have made them mainstays in practices around the world.",https://www.zeiss.com/meditec/en/products/basic-diagnostic-devices.html
